"","interaction_ID","sender_celltype","sender_gene","receiver_celltype","receiver_gene","ligand_log2FC","ligand_p_val_adj","receptor_log2FC","receptor_p_val_adj"
"71","Gran:APP_Mono:APLP2","Gran","APP","Mono","APLP2",NA,NA,NA,NA
"72","Gran:APP_Mono:CD74","Gran","APP","Mono","CD74",NA,NA,NA,NA
"73","Gran:APP_Mono:LRP1","Gran","APP","Mono","LRP1",NA,NA,NA,NA
"74","Gran:APP_Mono:LRP10","Gran","APP","Mono","LRP10",NA,NA,NA,NA
"75","Gran:APP_Mono:NCSTN","Gran","APP","Mono","NCSTN",NA,NA,NA,NA
"76","Gran:APP_Mono:NOTCH2","Gran","APP","Mono","NOTCH2",NA,NA,NA,NA
"77","Gran:APP_Mono:PTGER2","Gran","APP","Mono","PTGER2",NA,NA,0.300360041056194,0
"78","Gran:APP_Mono:RPSA","Gran","APP","Mono","RPSA",NA,NA,NA,NA
"79","Gran:AREG_Mono:ICAM1","Gran","AREG","Mono","ICAM1",-0.337985089123159,5.44675137160733e-36,NA,NA
"80","Gran:ARPC5_Mono:LDLR","Gran","ARPC5","Mono","LDLR",NA,NA,NA,NA
"81","Gran:CCL23_Mono:CCR1","Gran","CCL23","Mono","CCR1",NA,NA,NA,NA
"82","Gran:CCR1_Mono:MBP","Gran","CCR1","Mono","MBP",NA,NA,NA,NA
"83","Gran:CCR1_Mono:PRNP","Gran","CCR1","Mono","PRNP",NA,NA,NA,NA
"84","Gran:CD52_Mono:SIGLEC10","Gran","CD52","Mono","SIGLEC10",-0.262811733589469,5.77072736627515e-34,NA,NA
"85","Gran:CD53_Mono:CD37","Gran","CD53","Mono","CD37",NA,NA,NA,NA
"86","Gran:CD74_Mono:ACKR3","Gran","CD74","Mono","ACKR3",NA,NA,0.259583131144177,0
"87","Gran:CD74_Mono:CXCR4","Gran","CD74","Mono","CXCR4",NA,NA,0.331253411563129,0
"88","Gran:CD82_Mono:CD37","Gran","CD82","Mono","CD37",NA,NA,NA,NA
"89","Gran:COPA_Mono:CD74","Gran","COPA","Mono","CD74",NA,NA,NA,NA
"90","Gran:COPA_Mono:SORT1","Gran","COPA","Mono","SORT1",NA,NA,NA,NA
"91","Gran:FCGR1A_Mono:LILRB3","Gran","FCGR1A","Mono","LILRB3",NA,NA,NA,NA
"92","Gran:FCGR1A_Mono:PILRA","Gran","FCGR1A","Mono","PILRA",NA,NA,NA,NA
"93","Gran:IL18_Mono:CD48","Gran","IL18","Mono","CD48",NA,NA,-0.405816577096736,0
"94","Gran:IL1RN_Mono:IL1B","Gran","IL1RN","Mono","IL1B",NA,NA,0.290397533324859,2.87318281237088e-302
"95","Gran:IL1RN_Mono:IL1R2","Gran","IL1RN","Mono","IL1R2",NA,NA,NA,NA
"96","Gran:IL1RN_Mono:IL1RAP","Gran","IL1RN","Mono","IL1RAP",NA,NA,NA,NA
"97","Gran:JAK1_Mono:IFNAR1","Gran","JAK1","Mono","IFNAR1",NA,NA,NA,NA
"98","Gran:JAK1_Mono:IFNAR2","Gran","JAK1","Mono","IFNAR2",NA,NA,NA,NA
"99","Gran:LILRB4_Mono:LAIR1","Gran","LILRB4","Mono","LAIR1",NA,NA,NA,NA
"100","Gran:LMAN1_Mono:MCFD2","Gran","LMAN1","Mono","MCFD2",NA,NA,NA,NA
"101","Gran:LY86_Mono:CD180","Gran","LY86","Mono","CD180",NA,NA,NA,NA
"102","Gran:MIF_Mono:ACKR3","Gran","MIF","Mono","ACKR3",NA,NA,0.259583131144177,0
"103","Gran:MIF_Mono:CD44","Gran","MIF","Mono","CD44",NA,NA,NA,NA
"104","Gran:MIF_Mono:CD74","Gran","MIF","Mono","CD74",NA,NA,NA,NA
"105","Gran:MIF_Mono:CXCR4","Gran","MIF","Mono","CXCR4",NA,NA,0.331253411563129,0
"106","Gran:MIF_Mono:TNFRSF14","Gran","MIF","Mono","TNFRSF14",NA,NA,NA,NA
"107","Gran:QDPR_Mono:DYSF","Gran","QDPR","Mono","DYSF",NA,NA,NA,NA
"108","Gran:RPS19_Mono:C5AR1","Gran","RPS19","Mono","C5AR1",NA,NA,NA,NA
"109","Gran:S100A12_Mono:CD36","Gran","S100A12","Mono","CD36",-0.325840182192192,1.74421008742575e-45,0.282537866386678,0
"110","Gran:S100A12_Mono:TLR4","Gran","S100A12","Mono","TLR4",-0.325840182192192,1.74421008742575e-45,NA,NA
"111","Gran:SIGLEC7_Mono:CD33","Gran","SIGLEC7","Mono","CD33",NA,NA,NA,NA
"112","Gran:SIGLEC7_Mono:CD4","Gran","SIGLEC7","Mono","CD4",NA,NA,NA,NA
"113","Gran:SIGLEC7_Mono:SIGLEC10","Gran","SIGLEC7","Mono","SIGLEC10",NA,NA,NA,NA
"114","Gran:TNF_Mono:FAS","Gran","TNF","Mono","FAS",NA,NA,NA,NA
"115","Gran:TNF_Mono:FFAR2","Gran","TNF","Mono","FFAR2",NA,NA,NA,NA
"116","Gran:TNF_Mono:LTBR","Gran","TNF","Mono","LTBR",NA,NA,NA,NA
"117","Gran:TNF_Mono:TRADD","Gran","TNF","Mono","TRADD",NA,NA,NA,NA
"118","Gran:TNF_Mono:VSIR","Gran","TNF","Mono","VSIR",NA,NA,NA,NA
"119","Gran:TNFSF13_Mono:FAS","Gran","TNFSF13","Mono","FAS",NA,NA,NA,NA
"120","Gran:TNFSF13_Mono:TNFRSF14","Gran","TNFSF13","Mono","TNFRSF14",NA,NA,NA,NA
"121","Gran:TNFSF13_Mono:TNFRSF1A","Gran","TNFSF13","Mono","TNFRSF1A",NA,NA,NA,NA
"122","Gran:TOR2A_Mono:ATP5F1B","Gran","TOR2A","Mono","ATP5F1B",NA,NA,NA,NA
"123","Gran:TSPAN3_Mono:ADAM10","Gran","TSPAN3","Mono","ADAM10",NA,NA,NA,NA
"124","Gran:TYK2_Mono:IFNAR1","Gran","TYK2","Mono","IFNAR1",NA,NA,NA,NA
"125","Gran:TYK2_Mono:IFNAR2","Gran","TYK2","Mono","IFNAR2",NA,NA,NA,NA
"126","Gran:TYK2_Mono:JAK1","Gran","TYK2","Mono","JAK1",NA,NA,NA,NA
"127","T:ACTR2_Mono:LDLR","T","ACTR2","Mono","LDLR",NA,NA,NA,NA
"128","T:ADAM10_Mono:CADM1","T","ADAM10","Mono","CADM1",NA,NA,NA,NA
"129","T:ADAM10_Mono:CD44","T","ADAM10","Mono","CD44",NA,NA,NA,NA
"130","T:ADAM10_Mono:IL6R","T","ADAM10","Mono","IL6R",NA,NA,NA,NA
"131","T:ADAM10_Mono:NOTCH2","T","ADAM10","Mono","NOTCH2",NA,NA,NA,NA
"132","T:ADAM10_Mono:TSPAN14","T","ADAM10","Mono","TSPAN14",NA,NA,NA,NA
"133","T:ADRB2_Mono:CXCR4","T","ADRB2","Mono","CXCR4",NA,NA,0.331253411563129,0
"134","T:ADRB2_Mono:HNRNPK","T","ADRB2","Mono","HNRNPK",NA,NA,NA,NA
"135","T:ADRB2_Mono:MBP","T","ADRB2","Mono","MBP",NA,NA,NA,NA
"136","T:ADRB2_Mono:PRNP","T","ADRB2","Mono","PRNP",NA,NA,NA,NA
"137","T:ADRB2_Mono:SLC52A2","T","ADRB2","Mono","SLC52A2",NA,NA,NA,NA
"138","T:ADRB2_Mono:TMEM259","T","ADRB2","Mono","TMEM259",NA,NA,NA,NA
"139","T:ADRB2_Mono:VAPA","T","ADRB2","Mono","VAPA",NA,NA,NA,NA
"140","T:ADRB2_Mono:YWHAQ","T","ADRB2","Mono","YWHAQ",NA,NA,NA,NA
"141","T:ALOX5AP_Mono:ALOX5","T","ALOX5AP","Mono","ALOX5",NA,NA,NA,NA
"142","T:ANXA2_Mono:DYSF","T","ANXA2","Mono","DYSF",NA,NA,NA,NA
"143","T:ANXA2_Mono:TLR2","T","ANXA2","Mono","TLR2",NA,NA,NA,NA
"144","T:ARPC5_Mono:LDLR","T","ARPC5","Mono","LDLR",NA,NA,NA,NA
"145","T:CCL3_Mono:CCR1","T","CCL3","Mono","CCR1",NA,NA,NA,NA
"146","T:CCL3L1_Mono:CCR1","T","CCL3L1","Mono","CCR1",NA,NA,NA,NA
"147","T:CCL4_Mono:CCR1","T","CCL4","Mono","CCR1",NA,NA,NA,NA
"148","T:CCL5_Mono:CCR1","T","CCL5","Mono","CCR1",NA,NA,NA,NA
"149","T:CCL5_Mono:SDC4","T","CCL5","Mono","SDC4",NA,NA,NA,NA
"150","T:CD320_Mono:JAML","T","CD320","Mono","JAML",NA,NA,-0.259748636243015,5.07243003939177e-273
"151","T:CD320_Mono:TMEM167A","T","CD320","Mono","TMEM167A",NA,NA,NA,NA
"152","T:CD52_Mono:SIGLEC10","T","CD52","Mono","SIGLEC10",NA,NA,NA,NA
"153","T:CD53_Mono:CD37","T","CD53","Mono","CD37",NA,NA,NA,NA
"154","T:CD69_Mono:SIRPA","T","CD69","Mono","SIRPA",0.293941290332895,3.45809911605759e-191,NA,NA
"155","T:CD74_Mono:ACKR3","T","CD74","Mono","ACKR3",NA,NA,0.259583131144177,0
"156","T:CD74_Mono:CXCR4","T","CD74","Mono","CXCR4",NA,NA,0.331253411563129,0
"157","T:COPA_Mono:CD74","T","COPA","Mono","CD74",NA,NA,NA,NA
"158","T:COPA_Mono:SORT1","T","COPA","Mono","SORT1",NA,NA,NA,NA
"159","T:FYN_Mono:SPN","T","FYN","Mono","SPN",NA,NA,NA,NA
"160","T:HLA-DPA1_Mono:CD4","T","HLA-DPA1","Mono","CD4",NA,NA,NA,NA
"161","T:HLA-DQB1_Mono:CD4","T","HLA-DQB1","Mono","CD4",NA,NA,NA,NA
"162","T:ICAM2_Mono:ITGAM","T","ICAM2","Mono","ITGAM",NA,NA,NA,NA
"163","T:IFNG_Mono:IFNGR1","T","IFNG","Mono","IFNGR1",NA,NA,NA,NA
"164","T:IFNG_Mono:IFNGR2","T","IFNG","Mono","IFNGR2",NA,NA,0.279612755795909,0
"165","T:JAK1_Mono:IFNAR1","T","JAK1","Mono","IFNAR1",NA,NA,NA,NA
"166","T:JAK1_Mono:IFNAR2","T","JAK1","Mono","IFNAR2",NA,NA,NA,NA
"167","T:LRPAP1_Mono:LDLR","T","LRPAP1","Mono","LDLR",NA,NA,NA,NA
"168","T:LRPAP1_Mono:LRP1","T","LRPAP1","Mono","LRP1",NA,NA,NA,NA
"169","T:LRPAP1_Mono:SIRPA","T","LRPAP1","Mono","SIRPA",NA,NA,NA,NA
"170","T:LRPAP1_Mono:SORL1","T","LRPAP1","Mono","SORL1",NA,NA,NA,NA
"171","T:LRPAP1_Mono:SORT1","T","LRPAP1","Mono","SORT1",NA,NA,NA,NA
"172","T:LTA_Mono:LTBR","T","LTA","Mono","LTBR",NA,NA,NA,NA
"173","T:LTA_Mono:TNFRSF14","T","LTA","Mono","TNFRSF14",NA,NA,NA,NA
"174","T:LTA_Mono:TNFRSF1A","T","LTA","Mono","TNFRSF1A",NA,NA,NA,NA
"175","T:LTA_Mono:TNFRSF1B","T","LTA","Mono","TNFRSF1B",NA,NA,NA,NA
"176","T:LTB_Mono:CD40","T","LTB","Mono","CD40",NA,NA,NA,NA
"177","T:LTB_Mono:TNFRSF1A","T","LTB","Mono","TNFRSF1A",NA,NA,NA,NA
"178","T:MIF_Mono:ACKR3","T","MIF","Mono","ACKR3",NA,NA,0.259583131144177,0
"179","T:MIF_Mono:CD44","T","MIF","Mono","CD44",NA,NA,NA,NA
"180","T:MIF_Mono:CD74","T","MIF","Mono","CD74",NA,NA,NA,NA
"181","T:MIF_Mono:CXCR4","T","MIF","Mono","CXCR4",NA,NA,0.331253411563129,0
"182","T:MIF_Mono:TNFRSF14","T","MIF","Mono","TNFRSF14",NA,NA,NA,NA
"183","T:RPS19_Mono:C5AR1","T","RPS19","Mono","C5AR1",NA,NA,NA,NA
"184","T:SELPLG_Mono:ITGAM","T","SELPLG","Mono","ITGAM",NA,NA,NA,NA
"185","T:SELPLG_Mono:ITGB2","T","SELPLG","Mono","ITGB2",NA,NA,NA,NA
"186","T:SELPLG_Mono:SELL","T","SELPLG","Mono","SELL",NA,NA,NA,NA
"187","T:SEMA4D_Mono:PLXNB2","T","SEMA4D","Mono","PLXNB2",NA,NA,NA,NA
"188","T:SORL1_Mono:APP","T","SORL1","Mono","APP",NA,NA,NA,NA
"189","T:TNF_Mono:FAS","T","TNF","Mono","FAS",NA,NA,NA,NA
"190","T:TNF_Mono:FFAR2","T","TNF","Mono","FFAR2",NA,NA,NA,NA
"191","T:TNF_Mono:LTBR","T","TNF","Mono","LTBR",NA,NA,NA,NA
"192","T:TNF_Mono:TRADD","T","TNF","Mono","TRADD",NA,NA,NA,NA
"193","T:TNF_Mono:VSIR","T","TNF","Mono","VSIR",NA,NA,NA,NA
"194","NK:ACTR2_Mono:LDLR","NK","ACTR2","Mono","LDLR",NA,NA,NA,NA
"195","NK:ALOX5AP_Mono:ALOX5","NK","ALOX5AP","Mono","ALOX5",NA,NA,NA,NA
"196","NK:ANXA2_Mono:DYSF","NK","ANXA2","Mono","DYSF",NA,NA,NA,NA
"197","NK:ANXA2_Mono:TLR2","NK","ANXA2","Mono","TLR2",NA,NA,NA,NA
"198","NK:AREG_Mono:ICAM1","NK","AREG","Mono","ICAM1",NA,NA,NA,NA
"199","NK:ARPC5_Mono:LDLR","NK","ARPC5","Mono","LDLR",NA,NA,NA,NA
"200","NK:CCL3_Mono:CCR1","NK","CCL3","Mono","CCR1",NA,NA,NA,NA
"201","NK:CCL3L1_Mono:CCR1","NK","CCL3L1","Mono","CCR1",NA,NA,NA,NA
"202","NK:CCL4_Mono:CCR1","NK","CCL4","Mono","CCR1",NA,NA,NA,NA
"203","NK:CCL5_Mono:CCR1","NK","CCL5","Mono","CCR1",NA,NA,NA,NA
"204","NK:CCL5_Mono:SDC4","NK","CCL5","Mono","SDC4",NA,NA,NA,NA
"205","NK:CD52_Mono:SIGLEC10","NK","CD52","Mono","SIGLEC10",NA,NA,NA,NA
"206","NK:CD53_Mono:CD37","NK","CD53","Mono","CD37",NA,NA,NA,NA
"207","NK:CD69_Mono:SIRPA","NK","CD69","Mono","SIRPA",NA,NA,NA,NA
"208","NK:CD74_Mono:ACKR3","NK","CD74","Mono","ACKR3",NA,NA,0.259583131144177,0
"209","NK:CD74_Mono:CXCR4","NK","CD74","Mono","CXCR4",NA,NA,0.331253411563129,0
"210","NK:COPA_Mono:CD74","NK","COPA","Mono","CD74",NA,NA,NA,NA
"211","NK:COPA_Mono:SORT1","NK","COPA","Mono","SORT1",NA,NA,NA,NA
"212","NK:FYN_Mono:SPN","NK","FYN","Mono","SPN",NA,NA,NA,NA
"213","NK:GRN_Mono:SORT1","NK","GRN","Mono","SORT1",NA,NA,NA,NA
"214","NK:GRN_Mono:TNFRSF1A","NK","GRN","Mono","TNFRSF1A",NA,NA,NA,NA
"215","NK:GRN_Mono:TNFRSF1B","NK","GRN","Mono","TNFRSF1B",NA,NA,NA,NA
"216","NK:HLA-DPA1_Mono:CD4","NK","HLA-DPA1","Mono","CD4",NA,NA,NA,NA
"217","NK:HLA-DPB1_Mono:CD4","NK","HLA-DPB1","Mono","CD4",NA,NA,NA,NA
"218","NK:ICAM2_Mono:ITGAM","NK","ICAM2","Mono","ITGAM",NA,NA,NA,NA
"219","NK:IFNG_Mono:IFNGR1","NK","IFNG","Mono","IFNGR1",NA,NA,NA,NA
"220","NK:IFNG_Mono:IFNGR2","NK","IFNG","Mono","IFNGR2",NA,NA,0.279612755795909,0
"221","NK:JAK1_Mono:IFNAR1","NK","JAK1","Mono","IFNAR1",NA,NA,NA,NA
"222","NK:JAK1_Mono:IFNAR2","NK","JAK1","Mono","IFNAR2",NA,NA,NA,NA
"223","NK:LGALS9_Mono:CD44","NK","LGALS9","Mono","CD44",NA,NA,NA,NA
"224","NK:LGALS9_Mono:CD47","NK","LGALS9","Mono","CD47",NA,NA,NA,NA
"225","NK:LGALS9_Mono:HAVCR2","NK","LGALS9","Mono","HAVCR2",NA,NA,NA,NA
"226","NK:LGALS9_Mono:LRP1","NK","LGALS9","Mono","LRP1",NA,NA,NA,NA
"227","NK:LGALS9_Mono:PTPRC","NK","LGALS9","Mono","PTPRC",NA,NA,NA,NA
"228","NK:LGALS9_Mono:SLC1A5","NK","LGALS9","Mono","SLC1A5",NA,NA,NA,NA
"229","NK:LMAN1_Mono:MCFD2","NK","LMAN1","Mono","MCFD2",NA,NA,NA,NA
"230","NK:LRPAP1_Mono:LDLR","NK","LRPAP1","Mono","LDLR",NA,NA,NA,NA
"231","NK:LRPAP1_Mono:LRP1","NK","LRPAP1","Mono","LRP1",NA,NA,NA,NA
"232","NK:LRPAP1_Mono:SIRPA","NK","LRPAP1","Mono","SIRPA",NA,NA,NA,NA
"233","NK:LRPAP1_Mono:SORL1","NK","LRPAP1","Mono","SORL1",NA,NA,NA,NA
"234","NK:LRPAP1_Mono:SORT1","NK","LRPAP1","Mono","SORT1",NA,NA,NA,NA
"235","NK:MIF_Mono:ACKR3","NK","MIF","Mono","ACKR3",NA,NA,0.259583131144177,0
"236","NK:MIF_Mono:CD44","NK","MIF","Mono","CD44",NA,NA,NA,NA
"237","NK:MIF_Mono:CD74","NK","MIF","Mono","CD74",NA,NA,NA,NA
"238","NK:MIF_Mono:CXCR4","NK","MIF","Mono","CXCR4",NA,NA,0.331253411563129,0
"239","NK:MIF_Mono:TNFRSF14","NK","MIF","Mono","TNFRSF14",NA,NA,NA,NA
"240","NK:RPS19_Mono:C5AR1","NK","RPS19","Mono","C5AR1",NA,NA,NA,NA
"241","NK:SELPLG_Mono:ITGAM","NK","SELPLG","Mono","ITGAM",NA,NA,NA,NA
"242","NK:SELPLG_Mono:ITGB2","NK","SELPLG","Mono","ITGB2",NA,NA,NA,NA
"243","NK:SELPLG_Mono:SELL","NK","SELPLG","Mono","SELL",NA,NA,NA,NA
"244","NK:SEMA4D_Mono:PLXNB2","NK","SEMA4D","Mono","PLXNB2",NA,NA,NA,NA
"245","NK:SORL1_Mono:APP","NK","SORL1","Mono","APP",NA,NA,NA,NA
"246","NK:SPON2_Mono:ITGA4","NK","SPON2","Mono","ITGA4",NA,NA,NA,NA
"247","NK:SPON2_Mono:ITGA5","NK","SPON2","Mono","ITGA5",NA,NA,NA,NA
"248","NK:SPON2_Mono:ITGAM","NK","SPON2","Mono","ITGAM",NA,NA,NA,NA
"249","NK:SPON2_Mono:ITGB1","NK","SPON2","Mono","ITGB1",NA,NA,NA,NA
"250","NK:SPON2_Mono:ITGB2","NK","SPON2","Mono","ITGB2",NA,NA,NA,NA
"251","B:ACTR2_Mono:LDLR","B","ACTR2","Mono","LDLR",NA,NA,NA,NA
"252","B:ANXA2_Mono:DYSF","B","ANXA2","Mono","DYSF",NA,NA,NA,NA
"253","B:ANXA2_Mono:TLR2","B","ANXA2","Mono","TLR2",NA,NA,NA,NA
"254","B:AREG_Mono:ICAM1","B","AREG","Mono","ICAM1",NA,NA,NA,NA
"255","B:ARPC5_Mono:LDLR","B","ARPC5","Mono","LDLR",-0.284818863317868,1.10929110604342e-58,NA,NA
"256","B:CCL3_Mono:CCR1","B","CCL3","Mono","CCR1",NA,NA,NA,NA
"257","B:CCL4_Mono:CCR1","B","CCL4","Mono","CCR1",NA,NA,NA,NA
"258","B:CD52_Mono:SIGLEC10","B","CD52","Mono","SIGLEC10",NA,NA,NA,NA
"259","B:CD53_Mono:CD37","B","CD53","Mono","CD37",-0.262254322349261,2.15900310282872e-49,NA,NA
"260","B:CD69_Mono:SIRPA","B","CD69","Mono","SIRPA",0.342504240902661,5.2534341688739e-85,NA,NA
"261","B:CD74_Mono:ACKR3","B","CD74","Mono","ACKR3",NA,NA,0.259583131144177,0
"262","B:CD74_Mono:CXCR4","B","CD74","Mono","CXCR4",NA,NA,0.331253411563129,0
"263","B:CD82_Mono:CD37","B","CD82","Mono","CD37",NA,NA,NA,NA
"264","B:COPA_Mono:CD74","B","COPA","Mono","CD74",NA,NA,NA,NA
"265","B:COPA_Mono:SORT1","B","COPA","Mono","SORT1",NA,NA,NA,NA
"266","B:FCER2_Mono:ITGB2","B","FCER2","Mono","ITGB2",NA,NA,NA,NA
"267","B:GRN_Mono:SORT1","B","GRN","Mono","SORT1",NA,NA,NA,NA
