id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	rank	B|B	B|Ery	B|Gran	B|HSPC	B|Mono	B|NK	B|T	Ery|B	Ery|Ery	Ery|Gran	Ery|HSPC	Ery|Mono	Ery|NK	Ery|T	Gran|B	Gran|Ery	Gran|Gran	Gran|HSPC	Gran|Mono	Gran|NK	Gran|T	HSPC|B	HSPC|Ery	HSPC|Gran	HSPC|HSPC	HSPC|Mono	HSPC|NK	HSPC|T	Mono|B	Mono|Ery	Mono|Gran	Mono|HSPC	Mono|Mono	Mono|NK	Mono|T	NK|B	NK|Ery	NK|Gran	NK|HSPC	NK|Mono	NK|NK	NK|T	T|B	T|Ery	T|Gran	T|HSPC	T|Mono	T|NK	T|T
CPI-SS0F00D756A	CD40_TNFSF13B	simple:P25942	simple:Q9Y275	CD40	TNFSF13B	False	False	False	user_curated	False	0.02					0.435																																												
CPI-SS045D87D08	CALM2_KCNQ1	simple:P0DP24	simple:P51787	CALM2	KCNQ1	False	False	False	user_curated	False	0.02																										0.546																							
CPI-SS03C51D352	TNFRSF13B_TNFSF13B	simple:O14836	simple:Q9Y275	TNFRSF13B	TNFSF13B	False	False	False	user_curated	False	0.02					0.402																																												
CPI-SS09648FAA9	TNFRSF13C_TNFSF13B	simple:Q96RJ3	simple:Q9Y275	TNFRSF13C	TNFSF13B	False	False	False	user_curated	False	0.02					0.717																																												
CPI-SS0B3FE277C	ADRB2_ADM	simple:P07550	simple:P35318	ADRB2	ADM	False	False	False	user_curated	False	0.02																																								0.253									
CPI-SS012924CEE	CD40_LTB	simple:P25942	simple:Q06643	CD40	LTB	False	False	False	user_curated	False	0.02	0.893																																																
CPI-SS0F4C841A5	CALM2_PDE1B	simple:P0DP24	simple:Q01064	CALM2	PDE1B	False	False	False	user_curated	False	0.02																								0.558																									
CPI-SS0DB9B9B49	F13A1_ITGA4	simple:P00488	simple:P13612	F13A1	ITGA4	False	False	False	user_curated	False	0.02																															0.533																		
CPI-SS0A07CBD62	CALM2_KCNQ5	simple:P0DP24	simple:Q9NR82	CALM2	KCNQ5	False	False	False	user_curated	False	0.02																									0.545																								
CPI-SS02B2D99CE	CD79B_KREMEN1	simple:P40259	simple:Q96MU8	CD79B	KREMEN1	False	False	False	user_curated	False	0.02		0.255																																															
CPI-SS09A0B734B	MICB_HCST	simple:Q29980	simple:Q9UBK5	MICB	HCST	False	False	False	user_curated	False	0.02											0.458																																						
CPI-SS03AA209F5	FCGR2A_CD72	simple:P12318	simple:P21854	FCGR2A	CD72	False	False	False	user_curated	False	0.02															0.226																																		
CPI-SS058EEE861	LY86_CD180	simple:O95711	simple:Q99467	LY86	CD180	False	False	False	user_curated	False	0.02			0.225																																														
CPI-SS0C0273A26	FADD_CASP8	simple:Q13158	simple:Q14790	FADD	CASP8	False	False	False	user_curated	False	0.02																				0.246																													
CPI-SS076FEB261	FLT3_FLT3LG	simple:P36888	simple:P49771	FLT3	FLT3LG	False	False	False	user_curated	False	0.02																					0.466																												
CPI-SS046A8E9FD	LILRA1_HLA-A	simple:O75019	simple:P04439	LILRA1	HLA-A	False	False	False	user_curated	False	0.02																																1.171																	
CPI-SS0B490E802	DYSF_ANXA1	simple:O75923	simple:P04083	DYSF	ANXA1	False	False	False	user_curated	False	0.02																																	0.962																
CPI-SS05122F825	CD14_RIPK1	simple:P08571	simple:Q13546	CD14	RIPK1	False	False	False	user_curated	False	0.02																	0.342																																
CPI-SS05F06B713	ABCA1_CALM2	simple:O95477	simple:P0DP24	ABCA1	CALM2	False	False	False	user_curated	False	0.02																		0.551																															
CPI-SS00EE2358D	CD99_CD99L2	simple:P14209	simple:Q8TCZ2	CD99	CD99L2	False	False	False	user_curated	False	0.02																																						0.717											
CPI-SS070ABC196	PSAP_AR	simple:P07602	simple:P10275	PSAP	AR	False	False	False	user_curated	False	0.02																																							0.467										
CPI-SS0E7D5974D	TNF_TNFRSF1B	simple:P01375	simple:P20333	TNF	TNFRSF1B	False	False	False	user_curated	False	0.02																																																0.453	
CPI-SS05EBBEDFD	SORL1_CLCF1	simple:Q92673	simple:Q9UBD9	SORL1	CLCF1	False	False	False	user_curated	False	0.02																								0.469																									
CPI-SS067BA9202	LAIR1_LILRB4	simple:Q6GTX8	simple:Q8NHJ6	LAIR1	LILRB4	False	False	False	user_curated	False	0.02																															0.444																		
CPI-SS048D55DBE	CD36_CD9	simple:P16671	simple:P21926	CD36	CD9	False	False	False	user_curated	False	0.02																															0.586																		
CPI-SS0C6448B94	IL1B_ADRB2	simple:P01584	simple:P07550	IL1B	ADRB2	False	False	False	user_curated	False	0.02																											0.255																						
CPI-SS07EFC724D	ITGA4_CD9	simple:P13612	simple:P21926	ITGA4	CD9	False	False	False	user_curated	False	0.02																	0.463																																
CPI-SS0282A4EB6	IL4R_IL13RA1	simple:P24394	simple:P78552	IL4R	IL13RA1	False	False	False	user_curated	False	0.02			0.662																																														
CPI-SS0CBC7840D	PTPRC_CD22	simple:P08575	simple:P20273	PTPRC	CD22	False	False	False	user_curated	False	0.02															0.997																																		
CPI-SS033046196	CD79B_CD244	simple:P40259	simple:Q9BZW8	CD79B	CD244	False	False	False	user_curated	False	0.02				0.236																																													
CPI-SS0C92E4F54	CSF3R_CD244	simple:Q99062	simple:Q9BZW8	CSF3R	CD244	False	False	False	user_curated	False	0.02																									0.577																								
CPI-SS066167A54	CD24_SIGLEC10	simple:P25063	simple:Q96LC7	CD24	SIGLEC10	False	False	False	user_curated	False	0.02	0.178																																																
CPI-SS07297A3AD	ADM_GPR84	simple:P35318	simple:Q9NQS5	ADM	GPR84	False	False	False	user_curated	False	0.02																															0.25																		
CPI-SS032131570	HP_ITGB2	simple:P00738	simple:P05107	HP	ITGB2	False	False	False	user_curated	False	0.02																																		0.9															
CPI-SS050F23BBC	CD9_HBEGF	simple:P21926	simple:Q99075	CD9	HBEGF	False	False	False	user_curated	False	0.02																			0.563																														
CPI-SS083CBFACD	MDK_SORL1	simple:P21741	simple:Q92673	MDK	SORL1	False	False	False	user_curated	False	0.02																									0.371																								
CPI-SS0110CE1DB	KIT_IL7R	simple:P10721	simple:P16871	KIT	IL7R	False	False	False	user_curated	False	0.02																												0.499																					
CPI-SS0C38268C2	APOE_SORL1	simple:P02649	simple:Q92673	APOE	SORL1	False	False	False	user_curated	False	0.02											0.329																																						
CPI-SS080611C5B	ALOX5_ALOX5AP	simple:P09917	simple:P20292	ALOX5	ALOX5AP	False	False	False	user_curated	False	0.02																																	0.536																
CPI-SS0E71CCB88	EPOR_IFNGR2	simple:P19235	simple:P38484	EPOR	IFNGR2	False	False	False	user_curated	False	0.02												0.94																																					
CPI-SS057D7BC43	APOC1_VLDLR	simple:P02654	simple:P98155	APOC1	VLDLR	False	False	False	user_curated	False	0.02												0.397																																					
CPI-SS0679A45E2	PTPN6_CD300LF	simple:P29350	simple:Q8TDQ1	PTPN6	CD300LF	False	False	False	user_curated	False	0.02					0.259																																												
CPI-SS050610655	HLA-A_KIR2DL1	simple:P04439	simple:P43626	HLA-A	KIR2DL1	False	False	False	user_curated	False	0.02																								1.178																									
CPI-SS0BF944C6D	CCL5_CXCR3	simple:P13501	simple:P49682	CCL5	CXCR3	False	False	False	user_curated	False	0.02																					0.483																												
CPI-SS0E4272D6E	TGFB1_ITGAV	simple:P01137	simple:P06756	TGFB1	ITGAV	False	False	False	user_curated	False	0.041																																							0.648							0.537			
CPI-SS03E273233	ADORA2A_ENTPD1	simple:P29274	simple:P49961	ADORA2A	ENTPD1	False	False	False	user_curated	False	0.041																			0.144														0.133																
CPI-SS0A021DB6E	CCL5_CCR1	simple:P13501	simple:P32246	CCL5	CCR1	False	False	False	user_curated	False	0.041																	0.476		0.538																														
CPI-SS05D26939F	ADCY9_GNAS	simple:O60503	simple:Q5JWF2	ADCY9	GNAS	False	False	False	user_curated	False	0.041																0.742				0.813																													
CPI-SS0544B24DF	SLC16A7_BSG	simple:O60669	simple:P35613	SLC16A7	BSG	False	False	False	user_curated	False	0.041									1.011																																			1.062					
CPI-SS0817CE2B3	CCL3L1_CCR1	simple:P16619	simple:P32246	CCL3L1	CCR1	False	False	False	user_curated	False	0.041																																						0.254		0.316									
CPI-SS01560CA22	CD99_PILRA	simple:P14209	simple:Q9UKJ1	CD99	PILRA	False	False	False	user_curated	False	0.041																																						0.849		0.882									
CPI-SS0D418093A	FCGR1A_PILRA	simple:P12314	simple:Q9UKJ1	FCGR1A	PILRA	False	False	False	user_curated	False	0.041																															0.316		0.349																
CPI-SS094F522F1	TGFB1_SDC2	simple:P01137	simple:P34741	TGFB1	SDC2	False	False	False	user_curated	False	0.041																																						0.719							0.609				
CPI-SS007504828	TLR2_RNASE2	simple:O60603	simple:P10153	TLR2	RNASE2	False	False	False	user_curated	False	0.041																			0.545														0.673																
CPI-SS03A862F61	IL1B_IL1RN	simple:P01584	simple:P18510	IL1B	IL1RN	False	False	False	user_curated	False	0.041																								0.33		0.207																							
CPI-SS052C34032	ADRB2_GNAS	simple:P07550	simple:Q5JWF2	ADRB2	GNAS	False	False	False	user_curated	False	0.041																																					0.847				0.918								
CPI-SS067F25887	CD63_ITGA6	simple:P08962	simple:P23229	CD63	ITGA6	False	False	False	user_curated	False	0.041											0.162																					0.902																	
CPI-SS0BB5B4A97	CD63_KIT	simple:P08962	simple:P10721	CD63	KIT	False	False	False	user_curated	False	0.041											0.183																					0.923																	
CPI-SS001AF75AA	FCGRT_LILRB2	simple:P55899	simple:Q8N423	FCGRT	LILRB2	False	False	False	user_curated	False	0.041												0.312																					0.727																
CPI-SS0C2FD6EFC	THBS1_ITGA4	simple:P07996	simple:P13612	THBS1	ITGA4	False	False	False	user_curated	False	0.041																	0.628														0.858																		
CPI-SS0A15A5445	TLR4_S100A9	simple:O00206	simple:P06702	TLR4	S100A9	False	False	False	user_curated	False	0.041																	1.586														1.756																		
CPI-SS0066F1AF3	GSTP1_TRAF2	simple:P09211	simple:Q12933	GSTP1	TRAF2	False	False	False	user_curated	False	0.041									0.274														0.713																										
CPI-SS08DCD0534	LAG3_SNCA	simple:P18627	simple:P37840	LAG3	SNCA	False	False	False	user_curated	False	0.041																0.815																												0.87					
CPI-SS0B5DE428E	ITGB2_ICAM4	simple:P05107	simple:Q14773	ITGB2	ICAM4	False	False	False	user_curated	False	0.041																																					0.823		0.762										
CPI-SS082B13B46	TLR2_CD14	simple:O60603	simple:P08571	TLR2	CD14	False	False	False	user_curated	False	0.041																	0.34														0.468																		
CPI-SS09AEB9397	APOA1_CD14	simple:P02647	simple:P08571	APOA1	CD14	False	False	False	user_curated	False	0.041																	0.119							0.18																									
CPI-SS077F3546C	TLR4_CD14	simple:O00206	simple:P08571	TLR4	CD14	False	False	False	user_curated	False	0.041																	0.138														0.309																		
CPI-SS05767306F	ITGA4_ICAM4	simple:P13612	simple:Q14773	ITGA4	ICAM4	False	False	False	user_curated	False	0.041																0.514		0.454																															
CPI-SS087321EB5	SELL_SELPLG	simple:P14151	simple:Q14242	SELL	SELPLG	False	False	False	user_curated	False	0.041						0.224																																			0.484								
CPI-SS00150FB64	HLA-F_LILRB1	simple:P30511	simple:Q8NHL6	HLA-F	LILRB1	False	False	False	user_curated	False	0.041																																								0.575	0.555								
CPI-SS0F8531E5B	HLA-A_LILRB1	simple:P04439	simple:Q8NHL6	HLA-A	LILRB1	False	False	False	user_curated	False	0.041																										1.197	1.178																						
CPI-SS0B4F2B280	RPS27A_RIPK1	simple:P62979	simple:Q13546	RPS27A	RIPK1	False	False	False	user_curated	False	0.041										1.622																					1.774																		
CPI-SS02454BF63	ITGA4_TGM2	simple:P13612	simple:P21980	ITGA4	TGM2	False	False	False	user_curated	False	0.041																0.533	0.462																																
CPI-SS0ECA3C270	ITGB2_ICAM1	simple:P05107	simple:P05362	ITGB2	ICAM1	False	False	False	user_curated	False	0.041																																						0.79			0.896								
CPI-SS06CBA6036	HLA-A_CD8B	simple:P04439	simple:P10966	HLA-A	CD8B	False	False	False	user_curated	False	0.041																								1.199				1.46																					
CPI-SS055E061C9	LAMP1_FAM3C	simple:P11279	simple:Q92520	LAMP1	FAM3C	False	False	False	user_curated	False	0.041																																				0.532	0.272												
CPI-SS0BDD0711F	RHAG_ICAM4	simple:Q02094	simple:Q14773	RHAG	ICAM4	False	False	False	user_curated	False	0.041									0.915		0.855																																						
CPI-SS0EB5D4AA1	TLR4_S100A8	simple:O00206	simple:P05109	TLR4	S100A8	False	False	False	user_curated	False	0.041																	1.593														1.764																		
CPI-SS07CCAD9BF	GRN_SORT1	simple:P28799	simple:Q99523	GRN	SORT1	False	False	False	user_curated	False	0.041																															0.832		0.842																
CPI-SS06CBC985C	LTBR_LTB	simple:P36941	simple:Q06643	LTBR	LTB	False	False	False	user_curated	False	0.041																						0.763							0.781																				
CPI-SS0EB5AEC83	SELL_CD34	simple:P14151	simple:P28906	SELL	CD34	False	False	False	user_curated	False	0.041				0.232																																			0.491										
CPI-SS09B7E7E15	VCAN_ITGA4	simple:P13611	simple:P13612	VCAN	ITGA4	False	False	False	user_curated	False	0.041																	0.998														1.519																		
CPI-SS00D15753B	PSAP_SORT1	simple:P07602	simple:Q99523	PSAP	SORT1	False	False	False	user_curated	False	0.041																																						0.467		0.477									
CPI-SS06E8D5675	SPARC_ENG	simple:P09486	simple:P17813	SPARC	ENG	False	False	False	user_curated	False	0.041																0.261							0.174																										
CPI-SS0BC7CD11B	LGALS9_MET	simple:O00182	simple:P08581	LGALS9	MET	False	False	False	user_curated	False	0.041																			0.386														0.348																
CPI-SS0A02D0D93	TGFB1_CD109	simple:P01137	simple:Q6YHK3	TGFB1	CD109	False	False	False	user_curated	False	0.041																																						0.839							0.728				
CPI-SS0E292C126	KLRB1_CLEC2D	simple:Q12918	simple:Q9UHP7	KLRB1	CLEC2D	False	False	False	user_curated	False	0.041																																				1.199							0.4						
CPI-SS0BB1B580F	CA2_AQP1	simple:P00918	simple:P29972	CA2	AQP1	False	False	False	user_curated	False	0.041									1.068							0.304																																	
CPI-SS02A0FF87F	FAM3C_CLEC2D	simple:Q92520	simple:Q9UHP7	FAM3C	CLEC2D	False	False	False	user_curated	False	0.041	0.475							0.216																																									
CPI-SS02A152DAC	BSG_SLC16A1	simple:P35613	simple:P53985	BSG	SLC16A1	False	False	False	user_curated	False	0.041									1.006	1.03																																							
CPI-SS0008FC8E2	CD8B_HLA-F	simple:P10966	simple:P30511	CD8B	HLA-F	False	False	False	user_curated	False	0.041																				0.577																												0.838	
CPI-SS0B2FB23BC	CXCL2_ACKR1	simple:P19875	simple:Q16570	CXCL2	ACKR1	False	False	False	user_curated	False	0.041																							0.317							0.47																			
CPI-SS0F739D3DB	ANXA1_FPR1	simple:P04083	simple:P21462	ANXA1	FPR1	False	False	False	user_curated	False	0.041																															1.109		1.126																
CPI-SS06324AAE2	TGFBR1_RPS27A	simple:P36897	simple:P62979	TGFBR1	RPS27A	False	False	False	user_curated	False	0.041																							1.405			1.557																							
CPI-SS061D3FA11	TLR4_CD36	simple:O00206	simple:P16671	TLR4	CD36	False	False	False	user_curated	False	0.041																			0.597														0.768																
CPI-SS083767C88	LMAN1_MCFD2	simple:P49257	simple:Q8NI22	LMAN1	MCFD2	False	False	False	user_curated	False	0.041									0.2		0.232																																						
CPI-SS0C93E48D7	THBS1_CD36	simple:P07996	simple:P16671	THBS1	CD36	False	False	False	user_curated	False	0.041																			0.751														0.981																
CPI-SS059C1B141	CD6_DAG1	simple:P30203	simple:Q14118	CD6	DAG1	False	False	False	user_curated	False	0.041																																								0.162							0.357		
CPI-SS01AD50A56	ADRB2_HSPA8	simple:P07550	simple:P11142	ADRB2	HSPA8	False	False	False	user_curated	False	0.041																																					0.712		0.595										
CPI-SS02288E1CF	TGFB1_TGFBR1	simple:P01137	simple:P36897	TGFB1	TGFBR1	False	False	False	user_curated	False	0.041																																							0.658							0.547			
CPI-SS09C4FCB90	ICAM1_SPN	simple:P05362	simple:P16150	ICAM1	SPN	False	False	False	user_curated	False	0.041																0.324																					0.43												
CPI-SS05811D8D6	ADRB2_RPS27A	simple:P07550	simple:P62979	ADRB2	RPS27A	False	False	False	user_curated	False	0.041																																					1.529			1.682									
CPI-SS09E666A60	DNAJA3_STUB1	simple:Q96EY1	simple:Q9UNE7	DNAJA3	STUB1	False	False	False	user_curated	False	0.041									0.235														0.211																										
CPI-SS07151D8BB	TLR4_S100A12	simple:O00206	simple:P80511	TLR4	S100A12	False	False	False	user_curated	False	0.041																	0.69														0.861																		
CPI-SS05056C314	TLR2_CD36	simple:O60603	simple:P16671	TLR2	CD36	False	False	False	user_curated	False	0.041																			0.799														0.927																
CPI-SS062878498	ARPC5_ADRB2	simple:O15511	simple:P07550	ARPC5	ADRB2	False	False	False	user_curated	False	0.041						0.294																																										0.344	
CPI-SS07B2C0241	TGFB1_LTBP1	simple:P01137	simple:Q14766	TGFB1	LTBP1	False	False	False	user_curated	False	0.041																																					0.749							0.639					
CPI-SS0FBF68344	LILRB3_FCGR1A	simple:O75022	simple:P12314	LILRB3	FCGR1A	False	False	False	user_curated	False	0.041																			0.241														0.39																
CPI-SS01011D1D3	ICAM1_MSN	simple:P05362	simple:P26038	ICAM1	MSN	False	False	False	user_curated	False	0.041																0.149																					0.255												
CPI-SS08EFD7526	KIT_CD81	simple:P10721	simple:P60033	KIT	CD81	False	False	False	user_curated	False	0.061																						0.443	0.136			0.147																							
CPI-SS0DD78D742	CXCL8_CD79A	simple:P10145	simple:P11912	CXCL8	CD79A	False	False	False	user_curated	False	0.061															1.871							1.261							2.389																				
CPI-SS0E873DD1D	S100A9_ALCAM	simple:P06702	simple:Q13740	S100A9	ALCAM	False	False	False	user_curated	False	0.061																	1.678	1.658	1.715																														
CPI-SS0A984F086	TNFRSF1A_LTB	simple:P19438	simple:Q06643	TNFRSF1A	LTB	False	False	False	user_curated	False	0.061															0.888							0.789							0.947																				
CPI-SS0326BE09E	CD14_PLXND1	simple:P08571	simple:Q9Y4D7	CD14	PLXND1	False	False	False	user_curated	False	0.061																0.102	0.216	0.223																															
CPI-SS071B6D5F0	IFNG_IFNGR2	simple:P01579	simple:P38484	IFNG	IFNGR2	False	False	False	user_curated	False	0.061																			0.665																					0.84							0.713		
CPI-SS0C27B14E9	UBC_TGFBR1	simple:P0CG48	simple:P36897	UBC	TGFBR1	False	False	False	user_curated	False	0.061				1.534																																			1.367							1.505			
CPI-SS07ACDDCD6	APP_SORL1	simple:P05067	simple:Q92673	APP	SORL1	False	False	False	user_curated	False	0.061																		0.45							0.394							0.472																	
CPI-SS0CD590A32	CALM1_KCNQ5	simple:P0DP23	simple:Q9NR82	CALM1	KCNQ5	False	False	False	user_curated	False	0.061											0.305							0.932							0.321																								
CPI-SS0911EECCC	CXCL8_ACKR1	simple:P10145	simple:Q16570	CXCL8	ACKR1	False	False	False	user_curated	False	0.061																0.979							0.369							1.497																			
CPI-SS07CB7ACC9	ITGA6_CD81	simple:P23229	simple:P60033	ITGA6	CD81	False	False	False	user_curated	False	0.061																						0.422	0.116			0.127																							
CPI-SS0FC3637E5	ENG_LGALS3	simple:P17813	simple:P17931	ENG	LGALS3	False	False	False	user_curated	False	0.061									0.483	0.497		0.757																																					
CPI-SS0BBD5658B	APP_PTGER2	simple:P05067	simple:P43116	APP	PTGER2	False	False	False	user_curated	False	0.061																			0.476							0.42							0.498																
CPI-SS0DA5E7F58	ITGAV_CALR	simple:P06756	simple:P27797	ITGAV	CALR	False	False	False	user_curated	False	0.061																										0.416	0.632	0.525																					
CPI-SS03540A7B0	ITGB2_ICAM2	simple:P05107	simple:P13598	ITGB2	ICAM2	False	False	False	user_curated	False	0.061																																					0.757		0.762		0.842								
CPI-SS0BE6345A1	SERPINE2_LRP1	simple:P07093	simple:Q07954	SERPINE2	LRP1	False	False	False	user_curated	False	0.061									0.053	0.273		0.308																																					
CPI-SS06F4B6A7E	FAS_CASP8	simple:P25445	simple:Q14790	FAS	CASP8	False	False	False	user_curated	False	0.061													0.219																												0.268							0.284	
CPI-SS09F7411A6	PSAP_LRP1	simple:P07602	simple:Q07954	PSAP	LRP1	False	False	False	user_curated	False	0.061																																					0.43	0.651		0.686									
CPI-SS0B982FDFC	HSP90AA1_LRP1	simple:P07900	simple:Q07954	HSP90AA1	LRP1	False	False	False	user_curated	False	0.061		1.06	1.281		1.316																																												
CPI-SS073C1B796	CD52_SIGLEC10	simple:P31358	simple:Q96LC7	CD52	SIGLEC10	False	False	False	user_curated	False	0.061	1.242														0.852														0.962																				
CPI-SS056FF4363	CD48_CD244	simple:P09326	simple:Q9BZW8	CD48	CD244	False	False	False	user_curated	False	0.061																		0.292														0.725							0.558										
CPI-SS052F44300	SERPINA1_LRP1	simple:P01009	simple:Q07954	SERPINA1	LRP1	False	False	False	user_curated	False	0.061																0.126	0.346		0.381																														
CPI-SS07173104C	PTDSS1_JMJD6	simple:P48651	simple:Q6NYC1	PTDSS1	JMJD6	False	False	False	user_curated	False	0.061													0.197														0.25							0.234															
CPI-SS03EC5E8EB	ABCA1_CALM1	simple:O95477	simple:P0DP23	ABCA1	CALM1	False	False	False	user_curated	False	0.061																0.31	0.938	0.327																															
CPI-SS05316CA0D	MUC1_ADAM17	simple:P15941	simple:P78536	MUC1	ADAM17	False	False	False	user_curated	False	0.061										0.216	0.277	0.191																																					
CPI-SS0533D1B76	MET_ADAM17	simple:P08581	simple:P78536	MET	ADAM17	False	False	False	user_curated	False	0.061																															0.258	0.319	0.233																
CPI-SS0F6115075	INSR_CALM2	simple:P06213	simple:P0DP24	INSR	CALM2	False	False	False	user_curated	False	0.061											0.604							0.677														0.567																	
CPI-SS05F8AE2D1	PTPN6_CLEC12A	simple:P29350	simple:Q5QGZ9	PTPN6	CLEC12A	False	False	False	user_curated	False	0.061			0.265	0.209	0.212																																												
CPI-SS05703B2A9	CALM1_PDE1B	simple:P0DP23	simple:Q01064	CALM1	PDE1B	False	False	False	user_curated	False	0.061										0.318							0.945							0.334																									
CPI-SS064B55685	CXCL8_SDC2	simple:P10145	simple:P34741	CXCL8	SDC2	False	False	False	user_curated	False	0.061																	0.914							0.304							1.432																		
