id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	B|B	B|DC	B|Gran	B|HSPC	B|Mono	B|NK	B|T	DC|B	DC|DC	DC|Gran	DC|HSPC	DC|Mono	DC|NK	DC|T	Gran|B	Gran|DC	Gran|Gran	Gran|HSPC	Gran|Mono	Gran|NK	Gran|T	HSPC|B	HSPC|DC	HSPC|Gran	HSPC|HSPC	HSPC|Mono	HSPC|NK	HSPC|T	Mono|B	Mono|DC	Mono|Gran	Mono|HSPC	Mono|Mono	Mono|NK	Mono|T	NK|B	NK|DC	NK|Gran	NK|HSPC	NK|Mono	NK|NK	NK|T	T|B	T|DC	T|Gran	T|HSPC	T|Mono	T|NK	T|T
CPI-SS08BC9FF17	PRNP_ADRB2	simple:P04156	simple:P07550	PRNP	ADRB2	False	False	False	user_curated	False	0.135	0.134	0.0	0.133	0.134	0.16	0.154	0.224	0.223	0.0	0.222	0.223	0.249	0.243	0.367	0.365	0.0	0.365	0.365	0.392	0.386	0.225	0.223	0.0	0.223	0.223	0.25	0.244	0.35	0.348	0.0	0.348	0.348	0.375	0.369	0.119	0.118	0.0	0.118	0.118	0.145	0.139	0.156	0.155	0.0	0.155	0.155	0.182	0.176
CPI-SS04D87448A	GNAI2_TSHR	simple:P04899	simple:P16473	GNAI2	TSHR	False	False	False	user_curated	False	0.0	0.0	0.0	0.133	0.133	0.133	0.133	0.0	0.0	0.0	0.385	0.384	0.384	0.385	0.0	0.0	0.0	0.433	0.433	0.433	0.433	0.0	0.0	0.0	0.367	0.366	0.366	0.367	0.0	0.0	0.0	0.444	0.443	0.443	0.444	0.0	0.0	0.0	0.22	0.22	0.219	0.22	0.0	0.0	0.0	0.174	0.173	0.173	0.173
CPI-SS012FD886E	POMC_TSHR	simple:P01189	simple:P16473	POMC	TSHR	False	False	False	user_curated	False	0.0	0.0	0.0	0.027	0.026	0.026	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.002	0.002	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.016	0.016	0.016	0.0	0.0	0.0	0.025	0.025	0.024	0.025
CPI-SS010DF4808	AVP_TSHR	simple:P01185	simple:P16473	AVP	TSHR	False	False	False	user_curated	False	0.0	0.0	0.0	0.005	0.005	0.004	0.005	0.0	0.0	0.0	0.008	0.007	0.007	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.006	0.005	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.001	0.001	0.001
CPI-SS0FB2E9FF3	RLN2_TSHR	simple:P04090	simple:P16473	RLN2	TSHR	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.002	0.002	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.001	0.001	0.002
CPI-SS0C6FEEA14	SCT_TSHR	simple:P09683	simple:P16473	SCT	TSHR	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.147	0.146	0.146	0.147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.001	0.001	0.002
CPI-SS0E2696443	FN1_TSHR	simple:P02751	simple:P16473	FN1	TSHR	False	False	False	user_curated	False	0.0	0.0	0.0	0.007	0.006	0.006	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.003	0.002	0.003	0.0	0.0	0.0	0.014	0.014	0.013	0.014	0.0	0.0	0.0	0.003	0.002	0.002	0.002	0.0	0.0	0.0	0.002	0.001	0.001	0.001
CPI-SS032869B21	POMC_VIPR1	simple:P01189	simple:P32241	POMC	VIPR1	False	False	False	user_curated	False	0.0	0.029	0.0	0.0	0.033	0.027	0.028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.009	0.003	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.023	0.017	0.018	0.0	0.028	0.0	0.0	0.031	0.026	0.026
CPI-SS00D55E7F1	AVP_VIPR1	simple:P01185	simple:P32241	AVP	VIPR1	False	False	False	user_curated	False	0.0	0.008	0.0	0.0	0.011	0.006	0.007	0.0	0.01	0.0	0.0	0.014	0.008	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.012	0.006	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.008	0.002	0.003
CPI-SS07D7A06C1	RLN2_VIPR1	simple:P04090	simple:P32241	RLN2	VIPR1	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.009	0.003	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.008	0.002	0.003
CPI-SS0EC70F078	SCT_VIPR1	simple:P09683	simple:P32241	SCT	VIPR1	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.149	0.0	0.0	0.153	0.147	0.148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.008	0.002	0.003
CPI-SS09F6EBE93	CALM1_VIPR1	simple:P0DP23	simple:P32241	CALM1	VIPR1	False	False	False	user_curated	False	0.0	0.576	0.0	0.0	0.579	0.574	0.575	0.0	0.464	0.0	0.0	0.468	0.462	0.463	0.0	0.467	0.0	0.0	0.471	0.465	0.466	0.0	0.226	0.0	0.0	0.23	0.224	0.225	0.0	0.443	0.0	0.0	0.447	0.441	0.442	0.0	0.681	0.0	0.0	0.685	0.679	0.68	0.0	0.676	0.0	0.0	0.679	0.674	0.674
CPI-SS09EF65834	PTMA_VIPR1	simple:P06454	simple:P32241	PTMA	VIPR1	False	False	False	user_curated	False	0.0	0.838	0.0	0.0	0.841	0.836	0.836	0.0	0.786	0.0	0.0	0.79	0.784	0.785	0.0	0.781	0.0	0.0	0.785	0.779	0.78	0.0	0.774	0.0	0.0	0.778	0.772	0.773	0.0	0.749	0.0	0.0	0.752	0.746	0.747	0.0	0.824	0.0	0.0	0.827	0.822	0.822	0.0	0.805	0.0	0.0	0.808	0.803	0.803
CPI-SS03F2D0912	POMC_GPR84	simple:P01189	simple:Q9NQS5	POMC	GPR84	False	False	False	user_curated	False	0.0	0.044	0.034	0.027	0.06	0.0	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.009	0.003	0.036	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.033	0.023	0.017	0.05	0.0	0.015	0.0	0.042	0.032	0.025	0.058	0.0	0.024
CPI-SS0921F19C4	AVP_GPR84	simple:P01185	simple:Q9NQS5	AVP	GPR84	False	False	False	user_curated	False	0.0	0.022	0.012	0.006	0.038	0.0	0.004	0.0	0.024	0.014	0.008	0.041	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.013	0.006	0.039	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.008	0.002	0.035	0.0	0.0
CPI-SS0527B9DF1	RLN2_GPR84	simple:P04090	simple:Q9NQS5	RLN2	GPR84	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.009	0.003	0.036	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.009	0.002	0.035	0.0	0.001
CPI-SS06B1428D4	SCT_GPR84	simple:P09683	simple:Q9NQS5	SCT	GPR84	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.164	0.154	0.147	0.18	0.0	0.146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.008	0.002	0.035	0.0	0.001
CPI-SS07297A3AD	ADM_GPR84	simple:P35318	simple:Q9NQS5	ADM	GPR84	False	False	False	user_curated	False	0.0	0.023	0.013	0.006	0.039	0.0	0.005	0.0	0.07	0.06	0.054	0.087	0.0	0.052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.014	0.008	0.041	0.0	0.006	0.0	0.1	0.09	0.083	0.116	0.0	0.082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.009	0.003	0.036	0.0	0.002
CPI-SS055FC8123	INSL3_GPR84	simple:P51460	simple:Q9NQS5	INSL3	GPR84	False	False	False	user_curated	False	0.0	0.023	0.013	0.007	0.04	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.012	0.006	0.039	0.0	0.004	0.0	0.021	0.011	0.005	0.038	0.0	0.003	0.0	0.02	0.01	0.003	0.036	0.0	0.002	0.0	0.022	0.012	0.006	0.038	0.0	0.004
CPI-SS0422FB94A	GNAI2_ADRA2A	simple:P04899	simple:P08913	GNAI2	ADRA2A	False	False	False	user_curated	False	0.0	0.164	0.0	0.133	0.138	0.0	0.0	0.0	0.415	0.0	0.385	0.389	0.0	0.0	0.0	0.464	0.0	0.433	0.438	0.0	0.0	0.0	0.397	0.0	0.366	0.371	0.0	0.0	0.0	0.475	0.0	0.444	0.448	0.0	0.0	0.0	0.251	0.0	0.22	0.224	0.0	0.0	0.0	0.204	0.0	0.173	0.178	0.0	0.0
CPI-SS096DDDCBC	POMC_ADRA2A	simple:P01189	simple:P08913	POMC	ADRA2A	False	False	False	user_curated	False	0.0	0.058	0.0	0.027	0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.033	0.0	0.002	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.047	0.0	0.016	0.021	0.0	0.0	0.0	0.056	0.0	0.025	0.029	0.0	0.0
CPI-SS094013D10	CXCL10_ADRA2A	simple:P02778	simple:P08913	CXCL10	ADRA2A	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.032	0.0	0.001	0.006	0.0	0.0
CPI-SS0BCB0DBB3	APP_ADRA2A	simple:P05067	simple:P08913	APP	ADRA2A	False	False	False	user_curated	False	0.0	0.071	0.0	0.04	0.045	0.0	0.0	0.0	0.358	0.0	0.327	0.331	0.0	0.0	0.0	0.139	0.0	0.108	0.113	0.0	0.0	0.0	0.205	0.0	0.174	0.179	0.0	0.0	0.0	0.172	0.0	0.141	0.146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.019	0.024	0.0	0.0
CPI-SS09A4BB81D	C3_ADRA2A	simple:P01024	simple:P08913	C3	ADRA2A	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.042	0.0	0.011	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038	0.0	0.007	0.011	0.0	0.0	0.0	0.033	0.0	0.002	0.007	0.0	0.0	0.0	0.032	0.0	0.001	0.006	0.0	0.0
CPI-SS080900D13	PF4_ADRA2A	simple:P02776	simple:P08913	PF4	ADRA2A	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035	0.0	0.004	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.033	0.0	0.002	0.006	0.0	0.0	0.0	0.035	0.0	0.005	0.009	0.0	0.0	0.0	0.033	0.0	0.002	0.006	0.0	0.0	0.0	0.033	0.0	0.002	0.007	0.0	0.0
CPI-SS0E176DAD6	CORT_ADRA2A	simple:O00230	simple:P08913	CORT	ADRA2A	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.051	0.0	0.02	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.033	0.0	0.002	0.007	0.0	0.0
CPI-SS0206FC5C4	C5_ADRA2A	simple:P01031	simple:P08913	C5	ADRA2A	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037	0.0	0.006	0.011	0.0	0.0	0.0	0.034	0.0	0.003	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.032	0.0	0.001	0.006	0.0	0.0
CPI-SS0B39D5003	PPBP_ADRA2A	simple:P02775	simple:P08913	PPBP	ADRA2A	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035	0.0	0.004	0.009	0.0	0.0	0.0	0.041	0.0	0.01	0.015	0.0	0.0	0.0	0.033	0.0	0.002	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0833E9829	ANXA1_ADRA2A	simple:P04083	simple:P08913	ANXA1	ADRA2A	False	False	False	user_curated	False	0.0	0.045	0.0	0.014	0.018	0.0	0.0	0.0	0.392	0.0	0.361	0.366	0.0	0.0	0.0	0.803	0.0	0.772	0.777	0.0	0.0	0.0	0.527	0.0	0.497	0.501	0.0	0.0	0.0	0.709	0.0	0.678	0.682	0.0	0.0	0.0	0.221	0.0	0.19	0.195	0.0	0.0	0.0	0.232	0.0	0.201	0.206	0.0	0.0
CPI-SS0AA82A168	GNAI2_CXCR3	simple:P04899	simple:P49682	GNAI2	CXCR3	False	False	False	user_curated	False	0.18	0.143	0.0	0.135	0.138	0.18	0.272	0.431	0.394	0.0	0.386	0.39	0.432	0.524	0.48	0.443	0.0	0.435	0.438	0.48	0.572	0.413	0.376	0.0	0.368	0.372	0.414	0.505	0.49	0.453	0.0	0.445	0.449	0.491	0.583	0.267	0.229	0.0	0.221	0.225	0.267	0.359	0.22	0.183	0.0	0.175	0.179	0.221	0.312
CPI-SS080683E15	CXCL10_CXCR3	simple:P02778	simple:P49682	CXCL10	CXCR3	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.048	0.011	0.0	0.003	0.007	0.049	0.14
CPI-SS01A6823FA	PF4_CXCR3	simple:P02776	simple:P49682	PF4	CXCR3	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.013	0.0	0.005	0.009	0.051	0.143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.049	0.011	0.0	0.004	0.007	0.049	0.141	0.051	0.014	0.0	0.006	0.01	0.052	0.144	0.048	0.011	0.0	0.003	0.007	0.049	0.141	0.049	0.012	0.0	0.004	0.008	0.049	0.141
CPI-SS0BF944C6D	CCL5_CXCR3	simple:P13501	simple:P49682	CCL5	CXCR3	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.064	0.027	0.0	0.019	0.023	0.065	0.156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057	0.019	0.0	0.012	0.015	0.057	0.149	0.049	0.011	0.0	0.004	0.007	0.049	0.141	0.635	0.598	0.0	0.59	0.594	0.636	0.727	0.466	0.428	0.0	0.42	0.424	0.466	0.558
CPI-SS05E6C34AB	GNAI2_CAV1	simple:P04899	simple:Q03135	GNAI2	CAV1	False	False	False	user_curated	False	0.135	0.0	0.0	0.0	0.0	0.0	0.0	0.386	0.0	0.0	0.0	0.0	0.0	0.0	0.435	0.0	0.0	0.0	0.0	0.0	0.0	0.368	0.0	0.0	0.0	0.0	0.0	0.0	0.445	0.0	0.0	0.0	0.0	0.0	0.0	0.221	0.0	0.0	0.0	0.0	0.0	0.0	0.175	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS09A4576D9	APP_CAV1	simple:P05067	simple:Q03135	APP	CAV1	False	False	False	user_curated	False	0.042	0.0	0.0	0.0	0.0	0.0	0.0	0.328	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.176	0.0	0.0	0.0	0.0	0.0	0.0	0.143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS03FB81012	PDGFRB_CAV1	simple:P09619	simple:Q03135	PDGFRB	CAV1	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0122128E0	TGFB1_CAV1	simple:P01137	simple:Q03135	TGFB1	CAV1	False	False	False	user_curated	False	0.327	0.0	0.0	0.0	0.0	0.0	0.0	0.225	0.0	0.0	0.0	0.0	0.0	0.0	0.152	0.0	0.0	0.0	0.0	0.0	0.0	0.139	0.0	0.0	0.0	0.0	0.0	0.0	0.261	0.0	0.0	0.0	0.0	0.0	0.0	0.572	0.0	0.0	0.0	0.0	0.0	0.0	0.528	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS086F43A39	ICAM1_CAV1	simple:P05362	simple:Q03135	ICAM1	CAV1	False	False	False	user_curated	False	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.049	0.0	0.0	0.0	0.0	0.0	0.0	0.097	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.112	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0187EE42A	DPP4_CAV1	simple:P27487	simple:Q03135	DPP4	CAV1	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0
