gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B	DC	Gran	HSPC	Mono	NK	T
RLN2	P04090	False	RLN2_HUMAN		CPI-SS0527B9DF1	0.0	0.0	0.0	0.0	0.002	0.0	0.001
SCT	P09683	False	SCT_HUMAN		CPI-SS06B1428D4	0.0	0.291	0.0	0.0	0.0	0.0	0.001
ADM	P35318	False	ADM_HUMAN		CPI-SS07297A3AD	0.009	0.104	0.0	0.012	0.163	0.0	0.003
INSL3	P51460	False	INSL3_HUMAN		CPI-SS055FC8123	0.01	0.0	0.0	0.008	0.006	0.003	0.008
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0422FB94A	0.264	0.767	0.864	0.731	0.885	0.437	0.344
POMC	P01189	False	POMC_HUMAN		CPI-SS096DDDCBC	0.051	0.0	0.0	0.002	0.0	0.03	0.047
CXCL10	P02778	False	CXCL10_HUMAN		CPI-SS094013D10	0.0	0.0	0.0	0.0	0.0	0.0	0.001
APP	P05067	False	APP_HUMAN		CPI-SS0BCB0DBB3	0.079	0.651	0.214	0.346	0.28	0.0	0.036
C3	P01024	False	C3_HUMAN		CPI-SS09A4BB81D	0.0	0.0	0.02	0.0	0.011	0.003	0.0
PF4	P02776	False	PF4_HUMAN		CPI-SS080900D13	0.0	0.005	0.0	0.001	0.007	0.001	0.002
CORT	O00230	False	CORT_HUMAN		CPI-SS0E176DAD6	0.0	0.0	0.037	0.0	0.0	0.0	0.002
C5	P01031	False	C5_HUMAN		CPI-SS0206FC5C4	0.0	0.0	0.0	0.01	0.004	0.0	0.0
PPBP	P02775	False	PPBP_HUMAN		CPI-SS0B39D5003	0.0	0.0	0.0	0.007	0.018	0.001	0.0
ANXA1	P04083	False	ANXA1_HUMAN		CPI-SS0833E9829	0.025	0.72	1.542	0.991	1.353	0.378	0.4
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0AA82A168	0.264	0.767	0.864	0.731	0.885	0.437	0.344
CXCL10	P02778	False	CXCL10_HUMAN		CPI-SS080683E15	0.0	0.0	0.0	0.0	0.0	0.0	0.001
PF4	P02776	False	PF4_HUMAN		CPI-SS01A6823FA	0.0	0.005	0.0	0.001	0.007	0.001	0.002
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0BF944C6D	0.0	0.032	0.0	0.018	0.001	1.175	0.835
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS05E6C34AB	0.264	0.767	0.864	0.731	0.885	0.437	0.344
APP	P05067	False	APP_HUMAN		CPI-SS09A4576D9	0.079	0.651	0.214	0.346	0.28	0.0	0.036
PDGFRB	P09619	False	PDGFRB_HUMAN		CPI-SS03FB81012	0.0	0.0	0.024	0.0	0.0	0.02	0.0
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS0122128E0	0.648	0.444	0.3	0.273	0.518	1.139	1.051
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS086F43A39	0.041	0.094	0.189	0.032	0.218	0.015	0.011
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0187EE42A	0.0	0.016	0.0	0.001	0.0	0.001	0.013
HRAS	P01112	False	HRAS_HUMAN		CPI-SS07D0E29D8	0.077	0.066	0.086	0.023	0.052	0.065	0.063
ESR1	P03372	False	ESR1_HUMAN		CPI-SS0126A9645	0.01	0.0	0.02	0.011	0.0	0.001	0.0
EPHA2	P29317	False	EPHA2_HUMAN		CPI-SS0398E864A	0.0	0.02	0.0	0.0	0.002	0.0	0.0
PTGS2	P35354	False	PTGS2_HUMAN		CPI-SS0D4BE9D37	0.0	0.014	0.073	0.032	0.07	0.001	0.001
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS03666DA7A	0.264	0.767	0.864	0.731	0.885	0.437	0.344
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0B01D306C	0.0	0.032	0.0	0.018	0.001	1.175	0.835
CD4	P01730	False	CD4_HUMAN		CPI-SS0ABB32BF0	0.004	0.195	0.015	0.007	0.253	0.006	0.06
CCL2	P13500	False	CCL2_HUMAN		CPI-SS0B9E7D0EC	0.0	0.004	0.04	0.0	0.052	0.004	0.001
CCL3	P10147	False	CCL3_HUMAN		CPI-SS0C090A257	0.0	0.0	0.042	0.001	0.011	0.194	0.019
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0D1D95883	0.0	0.0	0.0	0.0	0.0	0.348	0.094
CCL3L1	P16619	False	CCL3L1_HUMAN		CPI-SS036B7E46C	0.0	0.031	0.054	0.013	0.015	0.112	0.138
S100A4	P26447	False	S100A4_HUMAN		CPI-SS05CA2B2B4	0.227	0.998	1.322	0.314	1.472	1.13	0.89
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0C39D566E	0.264	0.767	0.864	0.731	0.885	0.437	0.344
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS00FD788E8	0.264	0.767	0.864	0.731	0.885	0.437	0.344
MMP2	P08253	False	MMP2_HUMAN		CPI-SS0AE8C3A27	0.0	0.0	0.043	0.107	0.004	0.001	0.0
ITGA2B	P08514	False	ITGA2B_HUMAN		CPI-SS01B37D7D8	0.006	0.0	0.0	0.005	0.003	0.004	0.001
PRSS2	P07478	False	PRSS2_HUMAN		CPI-SS0A94DAC37	0.0	0.007	0.0	0.113	0.0	0.0	0.001
CTSG	P08311	False	CTSG_HUMAN		CPI-SS072BEC00E	0.002	0.064	0.274	0.174	0.006	0.002	0.002
GZMA	P12544	False	GZMA_HUMAN		CPI-SS07EA09568	0.0	0.016	0.0	0.004	0.0	0.63	0.196
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0A3CA0C16	0.264	0.767	0.864	0.731	0.885	0.437	0.344
FN1	P02751	False	FN1_HUMAN		CPI-SS027E3D40A	0.01	0.0	0.0	0.004	0.025	0.002	0.0
C5	P01031	False	C5_HUMAN		CPI-SS00581282E	0.0	0.0	0.0	0.01	0.004	0.0	0.0
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0BAC17AD7	0.264	0.767	0.864	0.731	0.885	0.437	0.344
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS0023122D0	0.0	0.021	0.0	0.001	0.0	0.0	0.004
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS085021184	0.264	0.767	0.864	0.731	0.885	0.437	0.344
PPBP	P02775	False	PPBP_HUMAN		CPI-SS07AB1C381	0.0	0.0	0.0	0.007	0.018	0.001	0.0
CXCL8	P10145	False	CXCL8_HUMAN		CPI-SS0698C4DC4	0.014	0.162	0.304	0.073	0.782	0.083	0.011
CXCL1	P09341	False	CXCL1_HUMAN		CPI-SS0C62E5DD8	0.0	0.0	0.057	0.002	0.021	0.0	0.0
CXCL2	P19875	False	CXCL2_HUMAN		CPI-SS040630206	0.0	0.092	0.156	0.11	0.209	0.003	0.002
CXCL3	P19876	False	CXCL3_HUMAN		CPI-SS0D04AE221	0.0	0.0	0.04	0.066	0.055	0.002	0.003
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0DE107E3C	0.264	0.767	0.864	0.731	0.885	0.437	0.344
PPBP	P02775	False	PPBP_HUMAN		CPI-SS0C491A3C1	0.0	0.0	0.0	0.007	0.018	0.001	0.0
CXCL8	P10145	False	CXCL8_HUMAN		CPI-SS0315F51DD	0.014	0.162	0.304	0.073	0.782	0.083	0.011
CXCL1	P09341	False	CXCL1_HUMAN		CPI-SS08102DC9E	0.0	0.0	0.057	0.002	0.021	0.0	0.0
CXCL2	P19875	False	CXCL2_HUMAN		CPI-SS0F562FEA5	0.0	0.092	0.156	0.11	0.209	0.003	0.002
CXCL3	P19876	False	CXCL3_HUMAN		CPI-SS09185EA8F	0.0	0.0	0.04	0.066	0.055	0.002	0.003
MIF	P14174	False	MIF_HUMAN		CPI-SS0C2B9C062	0.558	0.808	1.015	0.959	0.957	0.823	0.771
CD74	P04233	False	CD74_HUMAN		CPI-SS001BAA737	1.623	1.525	0.726	0.717	1.081	0.496	0.494
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS08D8EC856	0.264	0.767	0.864	0.731	0.885	0.437	0.344
ANXA1	P04083	False	ANXA1_HUMAN		CPI-SS0F739D3DB	0.025	0.72	1.542	0.991	1.353	0.378	0.4
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS09BED5DD4	0.264	0.767	0.864	0.731	0.885	0.437	0.344
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0DE6FCF38	0.264	0.767	0.864	0.731	0.885	0.437	0.344
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0CA4C783F	0.264	0.767	0.864	0.731	0.885	0.437	0.344
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS091AAE861	0.264	0.767	0.864	0.731	0.885	0.437	0.344
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS03BD27349	0.264	0.767	0.864	0.731	0.885	0.437	0.344
NRP1	O14786	False	NRP1_HUMAN		CPI-SS03D3108AE	0.0	0.094	0.0	0.0	0.007	0.0	0.001
CD6	P30203	False	CD6_HUMAN		CPI-SS08991B378	0.003	0.01	0.0	0.009	0.0	0.232	0.603
S100A9	P06702	False	S100A9_HUMAN		CPI-SS0E873DD1D	0.0	0.39	1.453	0.003	1.671	0.085	0.011
S100B	P04271	False	S100B_HUMAN		CPI-SS0990BCA45	0.0	0.01	0.0	0.008	0.002	0.042	0.001
VWF	P04275	False	VWF_HUMAN		CPI-SS03B60356D	0.0	0.0	0.0	0.001	0.0	0.002	0.0
LRPAP1	P30533	False	LRPAP1_HUMAN		CPI-SS00BC1D7B7	0.344	0.134	0.156	0.242	0.361	0.312	0.361
APP	P05067	False	APP_HUMAN		CPI-SS01C1F9BD5	0.079	0.651	0.214	0.346	0.28	0.0	0.036
C3	P01024	False	C3_HUMAN		CPI-SS07BD289CC	0.0	0.0	0.02	0.0	0.011	0.003	0.0
PF4	P02776	False	PF4_HUMAN		CPI-SS0B6760FAD	0.0	0.005	0.0	0.001	0.007	0.001	0.002
CALR	P27797	False	CALR_HUMAN		CPI-SS0CA60658F	0.688	0.426	0.719	0.687	0.507	0.793	0.607
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS02928C71A	0.0	0.021	0.0	0.001	0.0	0.0	0.004
LDLR	P01130	False	LDLR_HUMAN		CPI-SS05D25E16C	0.017	0.08	0.125	0.026	0.057	0.036	0.017
THBS1	P07996	False	THBS1_HUMAN		CPI-SS0B2A7EE22	0.0	0.004	0.066	0.002	0.12	0.041	0.029
MDK	P21741	False	MDK_HUMAN		CPI-SS006C6537E	0.0	0.143	0.0	0.186	0.021	0.03	0.011
HSPG2	P98160	False	HSPG2_HUMAN		CPI-SS01611BFB1	0.0	0.02	0.024	0.015	0.0	0.0	0.001
TFPI	P10646	False	TFPI_HUMAN		CPI-SS02732F2A4	0.004	0.086	0.02	0.376	0.051	0.001	0.001
F8	P00451	False	F8_HUMAN		CPI-SS0D47CF8AB	0.0	0.009	0.021	0.002	0.01	0.003	0.003
AGRN	O00468	False	AGRN_HUMAN		CPI-SS031728D8B	0.0	0.053	0.029	0.009	0.032	0.004	0.001
PLAU	P00749	False	PLAU_HUMAN		CPI-SS0B54D7D88	0.005	0.087	0.028	0.021	0.022	0.001	0.001
SERPINE1	P05121	False	SERPINE1_HUMAN		CPI-SS08E77BC24	0.0	0.016	0.097	0.006	0.053	0.011	0.002
LPL	P06858	False	LPL_HUMAN		CPI-SS0F1351371	0.0	0.0	0.0	0.0	0.003	0.0	0.0
APOA1	P02647	False	APOA1_HUMAN		CPI-SS07FDE0981	0.0	0.043	0.06	0.043	0.004	0.025	0.013
APOE	P02649	False	APOE_HUMAN		CPI-SS0401F61EA	0.005	0.0	0.0	0.002	0.006	0.003	0.007
APOC2	P02655	False	APOC2_HUMAN		CPI-SS0DACCF1C5	0.0	0.0	0.0	0.0	0.004	0.0	0.0
LGALS9	O00182	False	LGALS9_HUMAN		CPI-SS0419B80C4	0.099	0.233	0.19	0.256	0.289	0.069	0.026
MMP9	P14780	False	MMP9_HUMAN		CPI-SS0B0C9B5EB	0.015	0.0	0.0	0.0	0.012	0.004	0.007
FCN1	O00602	False	FCN1_HUMAN		CPI-SS0BDEDE435	0.008	0.124	0.265	0.0	0.88	0.036	0.013
PLAT	P00750	False	PLAT_HUMAN		CPI-SS0CAD4D1F3	0.0	0.0	0.0	0.005	0.0	0.003	0.013
SERPINA1	P01009	False	SERPINA1_HUMAN		CPI-SS052F44300	0.001	0.035	0.059	0.0	0.401	0.003	0.001
A2M	P01023	False	A2M_HUMAN		CPI-SS03A1FC511	0.0	0.0	0.0	0.001	0.007	0.012	0.011
C1QB	P02746	False	C1QB_HUMAN		CPI-SS088CA72FA	0.0	0.0	0.0	0.0	0.009	0.0	0.0
LTF	P02788	False	LTF_HUMAN		CPI-SS0831A016E	0.004	0.0	0.0	0.0	0.045	0.007	0.0
SERPING1	P05155	False	SERPING1_HUMAN		CPI-SS0C4DE5745	0.0	0.0	0.0	0.143	0.003	0.0	0.0
SERPINE2	P07093	False	SERPINE2_HUMAN		CPI-SS0BE6345A1	0.005	0.009	0.0	0.016	0.0	0.022	0.009
PSAP	P07602	False	PSAP_HUMAN		CPI-SS09F7411A6	0.595	1.022	1.151	0.308	1.362	0.562	0.305
HSP90AA1	P07900	False	HSP90AA1_HUMAN		CPI-SS0B982FDFC	0.919	1.067	1.065	1.161	0.762	1.043	1.11
LIPC	P11150	False	LIPC_HUMAN		CPI-SS09E7E3A89	0.0	0.0	0.0	0.0	0.0	0.005	0.0
HSP90B1	P14625	False	HSP90B1_HUMAN		CPI-SS0D0AAD278	0.475	0.956	0.822	0.69	0.578	0.766	0.475
VWF	P04275	False	VWF_HUMAN		CPI-SS058A32703	0.0	0.0	0.0	0.001	0.0	0.002	0.0
FN1	P02751	False	FN1_HUMAN		CPI-SS02BF2E3B8	0.01	0.0	0.0	0.004	0.025	0.002	0.0
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS0805DE8B6	0.648	0.444	0.3	0.273	0.518	1.139	1.051
LAMA5	O15230	False	LAMA5_HUMAN		CPI-SS019974A83	0.013	0.01	0.0	0.0	0.0	0.0	0.001
SEMA7A	O75326	False	SEMA7A_HUMAN		CPI-SS0F6313749	0.339	0.317	0.02	0.022	0.009	0.001	0.008
COL1A1	P02452	False	COL1A1_HUMAN		CPI-SS004E2CF6B	0.019	0.0	0.0	0.001	0.0	0.004	0.024
ADAM12	O43184	False	ADAM12_HUMAN		CPI-SS0BEA699C6	0.0	0.0	0.0	0.0	0.0	0.0	0.008
AGRN	O00468	False	AGRN_HUMAN		CPI-SS09FE3FCD6	0.0	0.053	0.029	0.009	0.032	0.004	0.001
PLAU	P00749	False	PLAU_HUMAN		CPI-SS0A0F54D53	0.005	0.087	0.028	0.021	0.022	0.001	0.001
F13A1	P00488	False	F13A1_HUMAN		CPI-SS09112AE47	0.004	0.026	0.124	0.056	0.115	0.003	0.0
VWF	P04275	False	VWF_HUMAN		CPI-SS052C1D0E7	0.0	0.0	0.0	0.001	0.0	0.002	0.0
FN1	P02751	False	FN1_HUMAN		CPI-SS0B1190CD5	0.01	0.0	0.0	0.004	0.025	0.002	0.0
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS0E4272D6E	0.648	0.444	0.3	0.273	0.518	1.139	1.051
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS0BD7F0DE4	0.0	0.021	0.0	0.001	0.0	0.0	0.004
LAMA5	O15230	False	LAMA5_HUMAN		CPI-SS0077CF16A	0.013	0.01	0.0	0.0	0.0	0.0	0.001
COL1A1	P02452	False	COL1A1_HUMAN		CPI-SS089D6E438	0.019	0.0	0.0	0.001	0.0	0.004	0.024
PLAU	P00749	False	PLAU_HUMAN		CPI-SS0DCBC051A	0.005	0.087	0.028	0.021	0.022	0.001	0.001
SERPINE1	P05121	False	SERPINE1_HUMAN		CPI-SS062574DF1	0.0	0.016	0.097	0.006	0.053	0.011	0.002
VWF	P04275	False	VWF_HUMAN		CPI-SS0F6C256BB	0.0	0.0	0.0	0.001	0.0	0.002	0.0
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS05CBE1108	0.006	0.249	0.349	0.022	0.553	0.004	0.006
FN1	P02751	False	FN1_HUMAN		CPI-SS0683A318D	0.01	0.0	0.0	0.004	0.025	0.002	0.0
LAMA5	O15230	False	LAMA5_HUMAN		CPI-SS0371773ED	0.013	0.01	0.0	0.0	0.0	0.0	0.001
LAMB1	P07942	False	LAMB1_HUMAN		CPI-SS095B656F8	0.01	0.042	0.0	0.005	0.002	0.008	0.012
LAMC1	P11047	False	LAMC1_HUMAN		CPI-SS08EF9A487	0.0	0.0	0.038	0.02	0.014	0.0	0.0
COL6A1	P12109	False	COL6A1_HUMAN		CPI-SS0C8D03B03	0.0	0.0	0.0	0.002	0.0	0.006	0.009
COL1A1	P02452	False	COL1A1_HUMAN		CPI-SS0A056285E	0.019	0.0	0.0	0.001	0.0	0.004	0.024
COL6A2	P12110	False	COL6A2_HUMAN		CPI-SS07B22F53C	0.0	0.007	0.0	0.003	0.002	0.144	0.097
COL4A4	P53420	False	COL4A4_HUMAN		CPI-SS099D8A355	0.0	0.0	0.0	0.001	0.0	0.003	0.002
ADAM12	O43184	False	ADAM12_HUMAN		CPI-SS0DB833B3F	0.0	0.0	0.0	0.0	0.0	0.0	0.008
TGM2	P21980	False	TGM2_HUMAN		CPI-SS0D4D0A5DA	0.018	0.0	0.0	0.001	0.058	0.0	0.0
TNXB	P22105	False	TNXB_HUMAN		CPI-SS0D5C22B5B	0.0	0.0	0.0	0.005	0.003	0.001	0.002
F13A1	P00488	False	F13A1_HUMAN		CPI-SS061158AC6	0.004	0.026	0.124	0.056	0.115	0.003	0.0
VCAM1	P19320	False	VCAM1_HUMAN		CPI-SS08A84828E	0.0	0.0	0.0	0.0	0.0	0.001	0.004
ADAM15	Q13444	False	ADAM15_HUMAN		CPI-SS0122AF98A	0.02	0.127	0.305	0.098	0.282	0.051	0.023
LAMB3	Q13751	False	LAMB3_HUMAN		CPI-SS0E124F269	0.0	0.023	0.0	0.0	0.022	0.004	0.0
VWF	P04275	False	VWF_HUMAN		CPI-SS081035DEE	0.0	0.0	0.0	0.001	0.0	0.002	0.0
FN1	P02751	False	FN1_HUMAN		CPI-SS0917DCF52	0.01	0.0	0.0	0.004	0.025	0.002	0.0
THBS1	P07996	False	THBS1_HUMAN		CPI-SS0C2FD6EFC	0.0	0.004	0.066	0.002	0.12	0.041	0.029
F13A1	P00488	False	F13A1_HUMAN		CPI-SS0DB9B9B49	0.004	0.026	0.124	0.056	0.115	0.003	0.0
VCAN	P13611	False	VCAN_HUMAN		CPI-SS09B7E7E15	0.0	0.271	0.731	0.016	1.119	0.005	0.002
ADAM23	O75077	False	ADAM23_HUMAN		CPI-SS0F59EBEC8	0.0	0.0	0.0	0.0	0.0	0.0	0.007
CD14	P08571	False	CD14_HUMAN		CPI-SS044700115	0.016	0.07	0.206	0.0	0.61	0.014	0.008
VWF	P04275	False	VWF_HUMAN		CPI-SS05E90015E	0.0	0.0	0.0	0.001	0.0	0.002	0.0
FN1	P02751	False	FN1_HUMAN		CPI-SS0ABEA8AB7	0.01	0.0	0.0	0.004	0.025	0.002	0.0
THBS1	P07996	False	THBS1_HUMAN		CPI-SS06EEF3EB3	0.0	0.004	0.066	0.002	0.12	0.041	0.029
VWF	P04275	False	VWF_HUMAN		CPI-SS0A963B02A	0.0	0.0	0.0	0.001	0.0	0.002	0.0
F12	P00748	False	F12_HUMAN		CPI-SS0E90C0E37	0.0	0.009	0.0	0.016	0.01	0.002	0.004
VWF	P04275	False	VWF_HUMAN		CPI-SS0D3FBE5C7	0.0	0.0	0.0	0.001	0.0	0.002	0.0
ITGB2	P05107	False	ITGB2_HUMAN		CPI-SS02F1B2170	0.142	0.44	0.892	0.216	1.02	1.045	0.359
ITGAM	P11215	False	ITGAM_HUMAN		CPI-SS05F88F595	0.012	0.079	0.172	0.006	0.379	0.256	0.025
THBS1	P07996	False	THBS1_HUMAN		CPI-SS07D70FA3D	0.0	0.004	0.066	0.002	0.12	0.041	0.029
F12	P00748	False	F12_HUMAN		CPI-SS0EDD4F3A6	0.0	0.009	0.0	0.016	0.01	0.002	0.004
VWF	P04275	False	VWF_HUMAN		CPI-SS08D09E4CD	0.0	0.0	0.0	0.001	0.0	0.002	0.0
ITGB2	P05107	False	ITGB2_HUMAN		CPI-SS014044B97	0.142	0.44	0.892	0.216	1.02	1.045	0.359
ITGAM	P11215	False	ITGAM_HUMAN		CPI-SS06EC816B2	0.012	0.079	0.172	0.006	0.379	0.256	0.025
THBS1	P07996	False	THBS1_HUMAN		CPI-SS0D976DC4F	0.0	0.004	0.066	0.002	0.12	0.041	0.029
LTF	P02788	False	LTF_HUMAN		CPI-SS0B7EE52FF	0.004	0.0	0.0	0.0	0.045	0.007	0.0
F12	P00748	False	F12_HUMAN		CPI-SS0853C0705	0.0	0.009	0.0	0.016	0.01	0.002	0.004
VWF	P04275	False	VWF_HUMAN		CPI-SS09F8D23F9	0.0	0.0	0.0	0.001	0.0	0.002	0.0
GP1BA	P07359	False	GP1BA_HUMAN		CPI-SS095A5B8F6	0.0	0.0	0.0	0.002	0.002	0.001	0.002
SERPING1	P05155	False	SERPING1_HUMAN		CPI-SS053F13142	0.0	0.0	0.0	0.143	0.003	0.0	0.0
VCAN	P13611	False	VCAN_HUMAN		CPI-SS056324226	0.0	0.271	0.731	0.016	1.119	0.005	0.002
GP1BB	P13224	False	GP1BB_HUMAN		CPI-SS0A87165FB	0.0	0.0	0.015	0.016	0.011	0.0	0.001
GP9	P14770	False	GP9_HUMAN		CPI-SS081A15C77	0.0	0.0	0.0	0.001	0.0	0.0	0.001
VWF	P04275	False	VWF_HUMAN		CPI-SS091DB0F57	0.0	0.0	0.0	0.001	0.0	0.002	0.0
ITGB1	P05556	False	ITGB1_HUMAN		CPI-SS01606F44A	0.088	0.269	0.525	0.27	0.664	0.245	0.261
ITGAV	P06756	False	ITGAV_HUMAN		CPI-SS0AC90ECBB	0.039	0.071	0.074	0.079	0.072	0.054	0.133
CD44	P16070	False	CD44_HUMAN		CPI-SS0A0438C9D	0.662	0.681	1.002	0.852	1.138	0.384	0.891
ITGA2	P17301	False	ITGA2_HUMAN		CPI-SS022C0B580	0.0	0.0	0.0	0.004	0.0	0.001	0.003
VWF	P04275	False	VWF_HUMAN		CPI-SS0AE5FACC1	0.0	0.0	0.0	0.001	0.0	0.002	0.0
ITGB1	P05556	False	ITGB1_HUMAN		CPI-SS0C78BBDA2	0.088	0.269	0.525	0.27	0.664	0.245	0.261
ITGAV	P06756	False	ITGAV_HUMAN		CPI-SS0E3765D0D	0.039	0.071	0.074	0.079	0.072	0.054	0.133
SDC4	P31431	False	SDC4_HUMAN		CPI-SS09505F157	0.0	0.037	0.136	0.007	0.102	0.006	0.011
CD44	P16070	False	CD44_HUMAN		CPI-SS068F0DB9A	0.662	0.681	1.002	0.852	1.138	0.384	0.891
ITGB5	P18084	False	ITGB5_HUMAN		CPI-SS0F66C2711	0.0	0.007	0.0	0.0	0.013	0.0	0.0
ITGA2	P17301	False	ITGA2_HUMAN		CPI-SS0234F582B	0.0	0.0	0.0	0.004	0.0	0.001	0.003
ITGA3	P26006	False	ITGA3_HUMAN		CPI-SS047446339	0.0	0.0	0.037	0.004	0.006	0.0	0.007
ITGA1	P56199	False	ITGA1_HUMAN		CPI-SS0213B7691	0.005	0.006	0.024	0.003	0.007	0.004	0.008
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0B9B3870A	0.006	0.249	0.349	0.022	0.553	0.004	0.006
APP	P05067	False	APP_HUMAN		CPI-SS0BC12ECC5	0.079	0.651	0.214	0.346	0.28	0.0	0.036
NRP1	O14786	False	NRP1_HUMAN		CPI-SS013425BB9	0.0	0.094	0.0	0.0	0.007	0.0	0.001
CD300LB	A8K4G0	False	CD300LB_HUMAN		CPI-SS0B39ACA2A	0.0	0.0	0.0	0.0	0.027	0.0	0.0
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS09CE5663D	0.126	0.078	0.046	0.117	0.052	0.007	0.015
NRP2	O60462	False	NRP2_HUMAN		CPI-SS002752434	0.116	0.013	0.0	0.0	0.011	0.0	0.001
